Strategy_ID,Net_Profit,Drawdown,Win_Rate,SQN_Score,Ret_DD_Ratio,Category
SYN_0064,13461.24,3259.38,65.08,3.02,4.13,Good
SYN_0065,14890.19,3520.14,57.2,3.45,4.23,Good
SYN_0066,14696.39,3017.74,60.73,3.34,4.87,Good
SYN_0067,14150.5,3116.85,60.72,2.68,4.54,Good
SYN_0068,7726.9,2445.22,51.23,2.46,3.16,Medium
SYN_0069,10464.06,2812.92,60.57,3.45,3.72,Good
SYN_0070,4075.9,1670.45,43.41,1.67,2.44,Bad
SYN_0071,4744.36,1944.41,42.16,1.6,2.44,Bad
SYN_0072,7815.05,2658.18,49.72,2.22,2.94,Medium
SYN_0073,11909.59,2940.64,61.46,2.97,4.05,Good
SYN_0074,13050.67,2861.99,58.63,2.51,4.56,Good
SYN_0075,6169.23,2301.95,45.09,1.47,2.68,Bad
SYN_0076,7699.37,2361.77,49.56,1.94,3.26,Medium
SYN_0077,4169.61,1715.89,45.39,1.64,2.43,Bad
SYN_0078,11657.18,3292.99,56.9,3.29,3.54,Good
SYN_0079,7563.94,2299.07,50.51,2.19,3.29,Medium
SYN_0080,4688.03,1698.56,44.66,1.35,2.76,Bad
SYN_0081,6519.61,2076.31,49.06,2.26,3.14,Medium
SYN_0082,4949.95,1755.3,46.13,1.51,2.82,Bad
SYN_0083,4722.09,1788.67,40.22,1.59,2.64,Bad
SYN_0084,11764.6,2574.31,57.07,2.96,4.57,Good
SYN_0085,16979.2,3382.31,56.83,2.7,5.02,Good
SYN_0086,4241.02,1656.65,41.49,1.38,2.56,Bad
SYN_0087,14088.53,3223.92,55.32,2.5,4.37,Good
SYN_0088,7375.38,2569.82,50.05,2.02,2.87,Medium
SYN_0089,9578.14,2808.84,49.1,2.18,3.41,Medium
SYN_0090,10903.09,2375.4,55.74,2.65,4.59,Good
SYN_0091,14041.76,3127.34,55.96,3.17,4.49,Good
SYN_0092,4745.63,1839.39,44.14,1.42,2.58,Bad
SYN_0093,10723.16,2728.54,55.74,2.65,3.93,Good
SYN_0094,7730.96,2408.4,48.83,2.21,3.21,Medium
SYN_0095,10698.72,2822.88,58.67,2.78,3.79,Good
SYN_0096,12319.23,3004.69,54.02,3.04,4.1,Good
SYN_0097,4112.77,1685.56,43.68,1.9,2.44,Bad
SYN_0098,9566.47,2687.21,56.19,2.99,3.56,Good
SYN_0099,8493.99,2687.97,45.57,2.17,3.16,Medium
SYN_0100,6842.58,2319.52,49.83,2.16,2.95,Medium
SYN_0101,3750.58,1431.52,41.88,1.34,2.62,Bad
SYN_0102,4280.9,1627.72,41.76,1.41,2.63,Bad
SYN_0103,10873.89,2861.55,62.68,3.17,3.8,Good
SYN_0104,11938.31,2744.44,59.8,2.51,4.35,Good
SYN_0105,11584.86,2962.88,53.45,2.73,3.91,Good
SYN_0106,14859.49,3244.43,61.59,2.29,4.58,Good
SYN_0107,13773.06,3040.41,57.19,2.87,4.53,Good
SYN_0108,11977.44,3127.27,56.75,2.42,3.83,Good
SYN_0109,7365.54,2294.56,48.34,2.28,3.21,Medium
SYN_0110,4964.04,1866.18,45.6,1.38,2.66,Bad
SYN_0111,4634.32,1988.98,43.0,1.49,2.33,Bad
SYN_0112,8264.04,2542.78,49.43,2.16,3.25,Medium
SYN_0113,14807.68,3137.22,56.72,2.84,4.72,Good
SYN_0114,7580.24,2311.05,50.42,2.24,3.28,Medium
SYN_0115,7828.6,2662.79,46.79,2.07,2.94,Medium
SYN_0116,3979.47,1776.55,40.18,1.67,2.24,Bad
SYN_0117,5023.27,1846.79,43.6,1.57,2.72,Bad
SYN_0118,12017.21,2807.76,52.98,2.91,4.28,Good
SYN_0119,16173.7,3116.32,60.69,3.23,5.19,Good
SYN_0120,4164.17,1727.87,43.75,1.8,2.41,Bad
SYN_0121,7956.56,2326.48,50.19,1.93,3.42,Medium
SYN_0122,13855.51,3148.98,57.17,3.46,4.4,Good
SYN_0123,5741.25,1993.49,45.02,1.79,2.88,Bad
SYN_0124,7872.07,2705.18,52.1,2.27,2.91,Medium
SYN_0125,11921.27,2865.69,54.91,2.66,4.16,Good
SYN_0126,16160.75,3631.63,57.51,2.99,4.45,Good
SYN_0127,12137.49,3254.02,60.37,2.56,3.73,Good
SYN_0128,6903.56,2177.78,47.79,2.12,3.17,Medium
SYN_0129,13471.64,3254.02,56.76,2.61,4.14,Good
SYN_0130,7449.29,2250.54,51.05,2.3,3.31,Medium
SYN_0131,4403.6,1613.04,38.04,1.63,2.73,Bad
SYN_0132,3534.59,1536.78,41.27,1.37,2.3,Bad
SYN_0133,6621.41,2056.34,52.71,2.42,3.22,Medium
SYN_0134,12443.21,3166.21,56.93,2.81,3.93,Good
SYN_0135,4655.18,1997.93,45.22,1.81,2.33,Bad
SYN_0136,7309.33,2214.95,49.07,1.93,3.3,Medium
SYN_0137,14292.43,3443.96,56.06,2.96,4.15,Good
SYN_0138,4309.51,1818.36,45.3,1.73,2.37,Bad
SYN_0139,14868.81,2763.72,52.86,3.27,5.38,Good
SYN_0140,4410.42,1757.14,43.63,1.36,2.51,Bad
SYN_0141,5252.86,1910.13,41.08,1.5,2.75,Bad
SYN_0142,9954.92,2690.52,57.19,2.76,3.7,Good
SYN_0143,14669.34,2893.36,56.67,2.72,5.07,Good
SYN_0144,7565.26,2180.19,49.89,2.12,3.47,Medium
SYN_0145,3691.63,1470.77,38.59,1.54,2.51,Bad
SYN_0146,13384.44,3164.17,58.46,3.04,4.23,Good
SYN_0147,5225.28,1986.8,40.33,1.54,2.63,Bad
SYN_0148,10342.71,3096.62,58.87,2.56,3.34,Good
SYN_0149,14874.49,3240.63,59.62,2.48,4.59,Good
SYN_0150,4237.82,1736.81,39.72,1.83,2.44,Bad
SYN_0151,11397.04,3139.68,57.37,2.98,3.63,Good
SYN_0152,12221.7,3117.78,56.56,3.12,3.92,Good
SYN_0153,7635.37,2503.4,46.99,2.44,3.05,Medium
SYN_0154,4447.94,1837.99,41.12,1.66,2.42,Bad
SYN_0155,8177.99,2655.19,46.97,2.32,3.08,Medium
SYN_0156,4560.0,1838.71,39.48,1.62,2.48,Bad
SYN_0157,13925.2,2919.33,58.63,3.16,4.77,Good
SYN_0158,9982.08,2458.64,61.38,3.14,4.06,Good
SYN_0159,13365.64,3358.2,56.73,2.92,3.98,Good
SYN_0160,4321.87,1800.78,41.15,1.5,2.4,Bad
SYN_0161,16457.77,3435.86,62.82,2.96,4.79,Good
SYN_0162,13314.1,3155.0,54.12,2.67,4.22,Good
SYN_0163,9710.17,2528.69,57.5,3.26,3.84,Good
SYN_0164,5227.68,1921.94,43.54,1.7,2.72,Bad
SYN_0165,3362.98,1474.99,44.76,1.44,2.28,Bad
SYN_0166,4009.25,1766.19,43.28,1.66,2.27,Bad
SYN_0167,8831.4,2480.73,59.42,3.08,3.56,Good
SYN_0168,7238.81,2234.2,52.44,2.35,3.24,Medium
SYN_0169,5380.24,1978.03,44.11,1.35,2.72,Bad
SYN_0170,9396.74,2873.62,48.25,2.14,3.27,Medium
SYN_0171,14065.56,3560.9,53.36,3.09,3.95,Good
SYN_0172,12235.93,3398.87,55.89,2.8,3.6,Good
SYN_0173,14236.09,3613.22,50.83,3.13,3.94,Good
SYN_0174,7252.17,2553.58,49.97,2.01,2.84,Medium
SYN_0175,11479.06,3102.45,59.74,3.2,3.7,Good
SYN_0176,12426.14,2979.89,52.9,2.87,4.17,Good
SYN_0177,4272.07,1765.32,40.16,1.53,2.42,Bad
SYN_0178,4910.81,1956.5,41.3,1.59,2.51,Bad
SYN_0179,12884.59,3320.77,55.02,2.22,3.88,Good
SYN_0180,14208.3,3157.4,57.61,3.07,4.5,Good
SYN_0181,8873.86,2826.07,49.66,2.14,3.14,Medium
SYN_0182,6466.56,2155.52,50.04,2.26,3.0,Medium
SYN_0183,10106.24,2361.27,51.39,3.0,4.28,Good
SYN_0184,13436.23,3277.13,58.11,2.57,4.1,Good
SYN_0185,12457.53,3330.89,58.74,3.32,3.74,Good
SYN_0186,10677.41,2802.47,58.86,2.35,3.81,Good
SYN_0187,4249.88,1897.27,43.78,1.63,2.24,Bad
SYN_0188,15019.79,3258.09,63.38,3.08,4.61,Good
SYN_0189,4596.72,1728.09,39.98,1.32,2.66,Bad
SYN_0190,15619.33,2871.2,62.76,3.34,5.44,Good
SYN_0191,14078.63,3484.81,55.21,2.86,4.04,Good
SYN_0192,4038.66,1628.49,43.12,1.6,2.48,Bad
SYN_0193,7066.08,2324.37,53.51,2.18,3.04,Medium
SYN_0194,11813.14,2590.6,54.75,2.55,4.56,Good
SYN_0195,15259.54,3532.3,58.25,3.07,4.32,Good
SYN_0196,4985.23,1780.44,45.1,1.5,2.8,Bad
SYN_0197,14209.13,3375.09,54.31,3.22,4.21,Good
SYN_0198,11808.21,2727.07,60.68,2.82,4.33,Good
SYN_0199,10657.3,2651.07,60.57,2.86,4.02,Good
SYN_0200,3859.8,1594.96,44.61,1.49,2.42,Bad
SYN_0201,13498.89,3040.29,59.48,2.85,4.44,Good
SYN_0202,4275.48,1683.26,42.52,1.74,2.54,Bad
SYN_0203,8078.69,2581.05,49.41,2.14,3.13,Medium
SYN_0204,13132.62,3149.31,55.91,2.25,4.17,Good
SYN_0205,6353.94,2076.45,49.83,2.14,3.06,Medium
SYN_0206,5213.19,2044.39,38.92,1.78,2.55,Bad
SYN_0207,15410.38,3170.86,56.91,2.46,4.86,Good
SYN_0208,13067.92,3325.17,57.59,2.84,3.93,Good
SYN_0209,6913.58,2259.34,49.02,2.09,3.06,Medium
SYN_0210,14184.18,3426.13,55.07,3.35,4.14,Good
SYN_0211,8069.53,2663.21,53.45,2.19,3.03,Medium
SYN_0212,12815.64,2932.64,60.77,2.55,4.37,Good
SYN_0213,5407.36,1871.06,40.6,1.35,2.89,Bad
SYN_0214,7831.51,2518.17,53.5,2.3,3.11,Medium
SYN_0215,13292.13,3007.27,55.04,2.82,4.42,Good
SYN_0216,9527.61,3034.27,52.31,2.26,3.14,Medium
SYN_0217,4227.47,1806.61,45.69,1.57,2.34,Bad
SYN_0218,7796.91,2652.01,48.91,2.14,2.94,Medium
SYN_0219,8722.34,2506.42,50.88,2.23,3.48,Medium
SYN_0220,14357.82,3378.31,56.98,2.71,4.25,Good
SYN_0221,11238.02,2721.07,57.65,2.85,4.13,Good
SYN_0222,11840.17,2747.14,55.17,3.0,4.31,Good
SYN_0223,7168.04,2297.45,48.4,1.83,3.12,Medium
SYN_0224,13518.58,3218.71,58.46,2.65,4.2,Good
SYN_0225,7750.54,2516.41,49.41,1.97,3.08,Medium
SYN_0226,13555.66,3152.48,61.27,3.38,4.3,Good
SYN_0227,11351.3,2910.59,59.99,2.84,3.9,Good
SYN_0228,12711.96,2963.16,64.75,2.6,4.29,Good
SYN_0229,4112.11,1618.94,41.58,1.62,2.54,Bad
SYN_0230,8077.28,2556.1,53.62,2.05,3.16,Medium
SYN_0231,9487.36,2516.54,59.45,2.65,3.77,Good
SYN_0232,13349.15,3075.84,62.8,3.12,4.34,Good
SYN_0233,4927.9,1971.16,47.06,1.51,2.5,Bad
SYN_0234,9656.62,2438.54,57.61,3.17,3.96,Good
SYN_0235,12425.41,2944.41,60.31,2.75,4.22,Good
SYN_0236,3592.73,1596.77,42.08,1.13,2.25,Bad
SYN_0237,13568.41,3443.76,57.86,2.51,3.94,Good
SYN_0238,4333.39,1783.29,42.45,1.55,2.43,Bad
SYN_0239,5665.35,2023.34,44.23,1.24,2.8,Bad
SYN_0240,15782.57,3423.55,59.14,2.95,4.61,Good
SYN_0241,5144.13,1837.19,44.35,1.52,2.8,Bad
SYN_0242,9014.4,2715.18,50.23,2.5,3.32,Medium
SYN_0243,13980.15,3320.7,57.95,2.58,4.21,Good
SYN_0244,4985.51,1719.14,42.9,1.75,2.9,Bad
SYN_0245,10399.99,2773.33,58.17,2.8,3.75,Good
SYN_0246,4615.81,1761.76,41.15,1.64,2.62,Bad
SYN_0247,15330.4,3429.62,58.0,3.0,4.47,Good
SYN_0248,9713.18,2490.56,57.6,3.23,3.9,Good
SYN_0249,3468.88,1667.73,41.48,1.53,2.08,Bad
SYN_0250,12410.9,3064.42,60.07,2.58,4.05,Good
SYN_0251,15517.4,3625.56,59.88,2.79,4.28,Good
SYN_0252,12997.98,2856.7,63.54,2.83,4.55,Good
SYN_0253,14759.37,3279.86,57.65,2.62,4.5,Good
SYN_0254,11540.22,3021.0,55.89,2.64,3.82,Good
SYN_0255,10700.47,2964.12,59.48,2.76,3.61,Good
SYN_0256,13070.34,2898.08,60.47,2.7,4.51,Good
SYN_0257,13221.48,3240.56,53.46,3.27,4.08,Good
SYN_0258,3872.81,1536.83,42.39,1.52,2.52,Bad
SYN_0259,12303.79,2943.49,57.0,3.06,4.18,Good
SYN_0260,12062.79,3208.19,57.38,3.2,3.76,Good
SYN_0261,16004.69,3362.33,54.57,2.39,4.76,Good
SYN_0262,3902.46,1639.69,46.54,1.07,2.38,Bad
SYN_0263,8163.02,2519.45,50.28,2.23,3.24,Medium
SYN_0264,4585.84,1849.13,41.5,1.83,2.48,Bad
SYN_0265,11244.24,3047.22,63.54,3.01,3.69,Good
SYN_0266,11527.97,3175.75,58.07,2.71,3.63,Good
SYN_0267,4860.94,1855.32,40.72,1.38,2.62,Bad
SYN_0268,13826.73,2973.49,62.2,2.84,4.65,Good
SYN_0269,13247.78,2943.95,53.75,2.46,4.5,Good
SYN_0270,11424.43,2944.44,55.7,2.77,3.88,Good
SYN_0271,13809.53,3021.78,60.48,2.66,4.57,Good
SYN_0272,4012.24,1678.76,40.07,1.68,2.39,Bad
SYN_0273,9036.18,2665.54,49.72,2.08,3.39,Medium
SYN_0274,15272.84,3291.56,59.73,2.91,4.64,Good
SYN_0275,14757.7,3243.45,53.39,2.7,4.55,Good
SYN_0276,10939.28,2893.99,56.14,3.32,3.78,Good
SYN_0277,9063.85,2914.42,50.01,2.18,3.11,Medium
SYN_0278,4159.66,1873.72,43.56,1.7,2.22,Bad
SYN_0279,5408.64,2003.2,43.29,1.78,2.7,Bad
SYN_0280,9001.36,2752.71,49.86,2.15,3.27,Medium
SYN_0281,12443.85,2948.78,61.01,2.84,4.22,Good
SYN_0282,10800.25,2686.63,58.11,2.04,4.02,Good
SYN_0283,14532.32,3125.23,62.57,3.21,4.65,Good
SYN_0284,7715.54,2204.44,47.33,2.19,3.5,Medium
SYN_0285,8376.35,2693.36,50.32,2.15,3.11,Medium
SYN_0286,11985.74,3097.09,58.33,2.87,3.87,Good
SYN_0287,11676.13,2941.09,56.57,2.53,3.97,Good
SYN_0288,5267.27,1987.65,45.93,1.69,2.65,Bad
SYN_0289,14556.4,3241.96,58.02,2.54,4.49,Good
SYN_0290,4416.56,1538.87,44.02,1.7,2.87,Bad
SYN_0291,3970.44,1521.24,42.16,1.62,2.61,Bad
SYN_0292,12561.57,2742.7,59.7,3.12,4.58,Good
SYN_0293,10510.22,2840.6,61.02,2.8,3.7,Good
SYN_0294,4045.92,1873.11,40.29,1.91,2.16,Bad
SYN_0295,7385.55,2546.74,47.49,2.14,2.9,Medium
SYN_0296,13734.18,3333.54,59.58,2.48,4.12,Good
SYN_0297,12588.05,3448.78,61.41,2.7,3.65,Good
SYN_0298,9526.45,3024.27,45.52,2.06,3.15,Medium
SYN_0299,3743.98,1599.99,40.05,1.23,2.34,Bad
SYN_0300,12973.54,3118.64,52.23,3.06,4.16,Good
SYN_0301,13322.42,2816.58,54.98,3.04,4.73,Good
SYN_0302,10765.8,2855.65,57.79,3.07,3.77,Good
SYN_0303,9762.58,2569.1,58.81,2.66,3.8,Good
SYN_0304,10872.3,2899.28,57.53,2.99,3.75,Good
SYN_0305,6316.76,2064.3,47.0,2.34,3.06,Medium
SYN_0306,7506.37,2345.74,50.01,2.03,3.2,Medium
SYN_0307,14387.71,3155.2,61.81,2.75,4.56,Good
SYN_0308,8028.12,2382.23,48.11,2.2,3.37,Medium
SYN_0309,12203.68,3066.25,55.71,2.26,3.98,Good
SYN_0310,8797.2,2564.78,47.31,2.06,3.43,Medium
SYN_0311,11915.64,3203.13,55.76,2.48,3.72,Good
SYN_0312,5132.66,1893.97,40.31,1.55,2.71,Bad
SYN_0313,9035.62,2886.78,50.95,1.78,3.13,Medium
SYN_0314,11832.38,2995.54,56.03,2.68,3.95,Good
SYN_0315,13660.44,2810.79,58.0,2.78,4.86,Good
SYN_0316,15870.82,2977.64,59.29,2.96,5.33,Good
SYN_0317,7364.6,2430.56,52.41,2.03,3.03,Medium
SYN_0318,13841.03,3022.06,57.85,3.03,4.58,Good
SYN_0319,8408.5,2402.43,50.09,2.27,3.5,Medium
SYN_0320,4458.21,1769.13,42.43,1.63,2.52,Bad
SYN_0321,5304.03,2164.91,43.96,1.34,2.45,Bad
SYN_0322,13184.35,3279.69,63.59,3.12,4.02,Good
SYN_0323,8213.06,2728.59,51.19,2.16,3.01,Medium
SYN_0324,11398.6,2688.35,58.41,3.08,4.24,Good
SYN_0325,10124.55,2995.43,56.22,3.1,3.38,Good
SYN_0326,3489.85,1390.38,39.36,1.7,2.51,Bad
SYN_0327,4875.88,1779.52,41.4,1.61,2.74,Bad
SYN_0328,7125.53,2508.99,48.37,2.08,2.84,Medium
SYN_0329,12419.93,2809.94,57.76,2.78,4.42,Good
SYN_0330,14721.9,2932.65,59.15,3.27,5.02,Good
SYN_0331,5517.55,2224.82,44.05,1.59,2.48,Bad
SYN_0332,12321.94,2738.21,57.57,2.59,4.5,Good
SYN_0333,5173.91,1821.8,45.62,1.57,2.84,Bad
SYN_0334,15076.59,3235.32,60.0,2.62,4.66,Good
SYN_0335,11362.23,2805.49,53.37,2.49,4.05,Good
SYN_0336,13062.84,3110.2,58.94,3.14,4.2,Good
SYN_0337,4784.52,1929.24,42.02,1.54,2.48,Bad
SYN_0338,3992.5,1629.59,45.89,1.74,2.45,Bad
SYN_0339,12628.02,3527.38,58.25,2.6,3.58,Good
SYN_0340,7781.21,2559.61,49.77,2.25,3.04,Medium
SYN_0341,7130.06,2249.23,51.16,2.15,3.17,Medium
SYN_0342,3430.49,1405.94,40.09,1.51,2.44,Bad
SYN_0343,7095.66,2252.59,47.06,1.89,3.15,Medium
SYN_0344,9966.41,2562.06,63.25,2.61,3.89,Good
SYN_0345,4950.1,1987.99,40.52,1.65,2.49,Bad
SYN_0346,3830.48,1520.03,46.68,1.33,2.52,Bad
SYN_0347,11511.06,3188.66,53.54,2.63,3.61,Good
SYN_0348,3845.79,1629.57,44.15,1.27,2.36,Bad
SYN_0349,11297.68,2896.84,57.37,2.8,3.9,Good
SYN_0350,4320.76,1554.23,42.07,1.43,2.78,Bad
SYN_0351,4427.25,1564.4,39.59,1.42,2.83,Bad
SYN_0352,13920.83,3275.49,56.23,3.11,4.25,Good
SYN_0353,7533.28,2519.49,51.7,2.19,2.99,Medium
SYN_0354,3664.32,1489.56,47.25,1.93,2.46,Bad
SYN_0355,14125.19,2876.82,61.58,2.97,4.91,Good
SYN_0356,6607.9,2152.41,48.56,2.14,3.07,Medium
SYN_0357,11336.01,2785.26,57.79,2.81,4.07,Good
SYN_0358,4932.93,1761.76,37.95,1.54,2.8,Bad
SYN_0359,8730.03,2613.78,47.82,2.14,3.34,Medium
SYN_0360,12040.92,2711.92,58.05,2.97,4.44,Good
SYN_0361,12222.77,2903.27,61.47,2.79,4.21,Good
SYN_0362,7421.46,2269.56,49.5,2.2,3.27,Medium
SYN_0363,4149.02,1553.94,43.75,1.58,2.67,Bad
SYN_0364,11201.89,2725.52,55.18,3.17,4.11,Good
SYN_0365,12135.52,2802.66,56.61,2.78,4.33,Good
SYN_0366,15207.35,3553.12,63.49,2.56,4.28,Good
SYN_0367,7136.26,2410.9,47.9,2.07,2.96,Medium
SYN_0368,11518.59,2440.38,55.29,2.48,4.72,Good
SYN_0369,9323.11,2702.35,55.02,2.7,3.45,Good
SYN_0370,12617.96,2941.25,58.32,2.41,4.29,Good
SYN_0371,14027.07,3262.11,54.22,2.87,4.3,Good
SYN_0372,8661.77,2624.78,49.97,2.14,3.3,Medium
SYN_0373,13874.73,2860.77,52.77,2.7,4.85,Good
SYN_0374,7336.36,2126.48,51.83,2.25,3.45,Medium
SYN_0375,7044.14,2355.9,49.04,2.05,2.99,Medium
SYN_0376,5323.46,1928.79,42.75,1.46,2.76,Bad
SYN_0377,3997.0,1561.33,41.09,1.49,2.56,Bad
SYN_0378,3906.46,1514.13,40.16,1.59,2.58,Bad
SYN_0379,7500.2,2525.32,50.32,2.38,2.97,Medium
SYN_0380,13089.71,2981.71,56.93,2.78,4.39,Good
SYN_0381,11870.2,2667.46,58.11,2.57,4.45,Good
SYN_0382,7571.6,2419.04,49.27,2.13,3.13,Medium
SYN_0383,5462.13,2092.77,44.68,1.61,2.61,Bad
SYN_0384,9680.7,2711.68,51.47,2.11,3.57,Medium
SYN_0385,12082.3,2559.81,61.01,2.82,4.72,Good
SYN_0386,12815.53,3058.6,53.63,2.9,4.19,Good
SYN_0387,12941.47,3059.45,54.27,3.07,4.23,Good
SYN_0388,4720.4,1794.83,42.6,1.4,2.63,Bad
SYN_0389,13157.15,3248.68,57.61,2.81,4.05,Good
SYN_0390,4521.02,1899.59,40.35,1.73,2.38,Bad
SYN_0391,13017.06,3006.25,54.29,2.7,4.33,Good
SYN_0392,3702.64,1429.59,41.49,1.95,2.59,Bad
SYN_0393,13475.74,3335.58,59.23,3.02,4.04,Good
SYN_0394,11045.04,2648.69,58.49,2.68,4.17,Good
SYN_0395,13184.46,2962.8,56.52,2.95,4.45,Good
SYN_0396,8165.39,2408.67,50.61,2.04,3.39,Medium
SYN_0397,13662.0,3162.5,58.72,3.39,4.32,Good
SYN_0398,13091.3,2948.49,56.35,3.15,4.44,Good
SYN_0399,9574.06,2918.92,48.15,2.02,3.28,Medium
SYN_0400,5327.94,2073.13,43.07,1.58,2.57,Bad
SYN_0401,4770.9,1767.0,40.62,1.41,2.7,Bad
SYN_0402,4093.93,1664.2,45.06,1.53,2.46,Bad
SYN_0403,4166.79,1714.73,45.42,1.37,2.43,Bad
SYN_0404,15845.08,2928.85,57.04,2.4,5.41,Good
SYN_0405,3720.07,1576.3,40.64,1.44,2.36,Bad
SYN_0406,4364.61,1767.05,41.96,1.63,2.47,Bad
SYN_0407,3489.1,1321.63,41.23,1.43,2.64,Bad
SYN_0408,12367.33,3237.52,61.85,2.4,3.82,Good
SYN_0409,10074.82,2284.54,61.13,3.15,4.41,Good
SYN_0410,12061.02,2864.85,58.65,3.3,4.21,Good
SYN_0411,11754.44,3126.18,52.49,2.98,3.76,Good
SYN_0412,3524.82,1330.12,42.36,1.55,2.65,Bad
SYN_0413,13352.08,3638.17,55.14,2.83,3.67,Good
SYN_0414,9783.56,2787.34,55.98,3.09,3.51,Good
SYN_0415,13917.89,3038.84,61.16,3.12,4.58,Good
SYN_0416,13303.0,2660.6,57.78,2.8,5.0,Good
SYN_0417,5980.22,1954.32,47.66,2.29,3.06,Medium
SYN_0418,11564.73,3043.35,56.01,2.6,3.8,Good
SYN_0419,10527.62,2876.4,55.46,2.44,3.66,Good
SYN_0420,7983.22,2626.06,49.8,2.07,3.04,Medium
SYN_0421,15732.17,3326.04,59.11,2.75,4.73,Good
SYN_0422,7180.63,2323.83,52.47,1.9,3.09,Medium
SYN_0423,10497.29,2505.32,57.76,2.74,4.19,Good
SYN_0424,11401.0,2836.07,61.51,3.27,4.02,Good
SYN_0425,13615.62,3059.69,54.86,3.19,4.45,Good
SYN_0426,10595.06,2825.35,61.96,2.54,3.75,Good
SYN_0427,8131.6,2719.6,52.4,2.2,2.99,Medium
